id,iid,project_id,title,description,state,created_at,updated_at,merged_at,closed_at,target_branch,source_branch,user_notes_count,upvotes,downvotes,assignees,reviewers,source_project_id,target_project_id,labels,work_in_progress,merge_when_pipeline_succeeds,merge_status,sha,squash_commit_sha,should_remove_source_branch,force_remove_source_branch,web_url,squash,has_conflicts,author_id,assignee_id,milestone_id,merged_by_id,closed_by_id,time_estimate,total_time_spent,human_time_estimate,human_total_time_spent
114,55,126,Dev,,merged,2022-10-03T12:49:28.945000Z,2022-10-03T12:51:21.448000Z,2022-10-03T12:51:21.503000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,de240033a770bf7ad5622b355a46f19737ddcd05,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/55,False,False,60,60,,60,,0,0,,
113,54,126,Test,,merged,2022-09-13T08:27:59.895000Z,2022-09-13T08:28:06.573000Z,2022-09-13T08:28:06.635000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,347907b97edaaf12b7ecebf2bc2c04773d98d7ba,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/54,False,False,60,60,,60,,0,0,,
112,53,126,DEV,"implemented changes to correct code extraction in case of null values not updated to 0 in Pck_LoadCoreBusHr.dtsx
implemented item stock trend table to have a timeline creation of item stock every last day of the month in Pck_LoadCoreBusNavPur.dtsx
changed procedure [ctrl].[p_core_prepare_coreprep_dim_chg] to correct NULL values inconsistencies among cleanse and core layer",merged,2022-09-13T08:27:05.495000Z,2022-09-13T08:27:12.747000Z,2022-09-13T08:27:12.801000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,f2d318ad54ffef44bba02bf75e8fed7639b782cd,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/53,False,False,60,60,,60,,0,0,,
111,52,126,Test,,merged,2022-09-12T07:51:23.124000Z,2022-09-12T07:51:43.507000Z,2022-09-12T07:51:43.671000Z,,live,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,d910f2d060fb225fb00c0dde173ff6bb4f9e1c3f,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/52,False,False,60,60,,60,,0,0,,
110,51,126,Dev,,merged,2022-09-08T14:28:27.540000Z,2022-09-08T14:28:40.554000Z,2022-09-08T14:28:40.604000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,7537db8cc1dfcfee4bf51450f2b22e7ef610bfe7,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/51,False,False,60,60,,60,,0,0,,
107,50,126,Dev,,merged,2022-09-06T14:33:40.207000Z,2022-09-06T14:33:50.786000Z,2022-09-06T14:33:50.932000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,79658c411f61caf7aa8326beed12fc6b31d0850d,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/50,False,False,60,60,,60,,0,0,,
105,49,126,Dev,,merged,2022-09-05T15:30:11.238000Z,2022-09-05T15:30:29.937000Z,2022-09-05T15:30:30.014000Z,,test,dev,0,0,0,[],[],126,126,[],False,False,can_be_merged,31c3ee438621774940d940eb25d1d9edbeafc552,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/49,False,False,60,,,60,,0,0,,
104,48,126,Test,,merged,2022-09-05T14:35:59.082000Z,2022-09-05T14:36:50.812000Z,2022-09-05T14:36:50.970000Z,,dev,test,0,0,0,[60],[],126,126,[],False,False,can_be_merged,2b1e61d47ab1a6902d2e70cfe49bf0eb741423e1,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/48,False,False,60,60,,60,,0,0,,
103,47,126,Dev,,merged,2022-09-02T09:21:32.852000Z,2022-09-02T09:22:29.170000Z,2022-09-02T09:22:29.234000Z,,test,dev,0,0,0,[60],[],126,126,[],False,False,can_be_merged,ac0712ba81da1237868ea87c2edff3f8cf2691c8,,False,False,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/47,False,False,60,60,,60,,0,0,,
102,46,126,Dev uma src,,merged,2022-09-02T09:19:14.986000Z,2022-09-02T09:19:27.182000Z,2022-09-02T09:19:27.263000Z,,dev,dev_uma_src,0,0,0,[60],[],126,126,[],False,False,can_be_merged,025134bd094d6e50fb36a77372f46023854f6a96,,False,True,https://gitlab.schaer.com/swd/qunisdwh/-/merge_requests/46,False,False,60,60,,60,,0,0,,
